handle,category,source_url,note
pmarca,business_tech_investing,https://twitter.com/i/lists/1234567890,a16z co-founder - tech investing thought leader
naval,business_entrepreneurship,https://twitter.com/i/lists/1234567890,AngelList founder - startup/crypto philosophy
paulg,business_entrepreneurship,https://twitter.com/i/lists/1234567890,Y Combinator founder - startup essays
jason,business_tech_investing,https://twitter.com/i/lists/1234567890,This Week in Startups - angel investor
chamath,business_tech_investing,https://twitter.com/i/lists/1234567890,Social Capital - investor and SPAC sponsor
rabois,business_tech_investing,https://twitter.com/i/lists/1234567890,Founders Fund - former PayPal executive
eladgil,business_tech_investing,https://twitter.com/i/lists/1234567890,High Growth Handbook author - investor
balajis,business_tech_crypto,https://twitter.com/i/lists/1234567890,Network State author - entrepreneur
packyM,business_newsletter,https://twitter.com/i/lists/1234567890,Not Boring newsletter - tech/business analysis
shl,business_entrepreneurship,https://twitter.com/i/lists/1234567890,Gumroad founder - creator economy
Austen,business_edtech,https://twitter.com/i/lists/1234567890,BloomTech founder - education startup
eriktorenberg,business_media,https://twitter.com/i/lists/1234567890,Turpentine Media - tech podcasts
TurnerNovak,business_tech_investing,https://twitter.com/i/lists/1234567890,Gelt VC - early stage investor
ShaanVP,business_entrepreneurship,https://twitter.com/i/lists/1234567890,My First Million podcast - entrepreneur
andrewchen,business_tech_investing,https://twitter.com/i/lists/1234567890,a16z partner - growth/marketplace expert
wolfejosh,business_tech_investing,https://twitter.com/i/lists/1234567890,Lux Capital - deep tech investor
mikesolana,business_media,https://twitter.com/i/lists/1234567890,Pirate Wires - tech culture commentary
byrnehobart,business_newsletter,https://twitter.com/i/lists/1234567890,The Diff newsletter - finance/tech analysis
benthompson,business_newsletter,https://twitter.com/i/lists/1234567890,Stratechery - tech strategy analysis
APompliano,business_finance_crypto,https://twitter.com/i/lists/1234567890,The Pomp Letter - Bitcoin/finance
nic__carter,business_finance_crypto,https://twitter.com/i/lists/1234567890,Castle Island Ventures - crypto analyst
LynAldenContact,business_finance_macro,https://twitter.com/i/lists/1234567890,Macro investment research - finance education
RaoulGMI,business_finance_macro,https://twitter.com/i/lists/1234567890,Real Vision - macro investing
CathieDWood,business_finance_investing,https://twitter.com/i/lists/1234567890,ARK Invest - disruptive innovation
RayDalio,business_finance_investing,https://twitter.com/i/lists/1234567890,Bridgewater - principles author
BillAckman,business_finance_investing,https://twitter.com/i/lists/1234567890,Pershing Square - activist investor
sapinker,business_science_author,https://twitter.com/i/lists/1234567890,Rationality author - cognitive science
tylercowen,business_economics,https://twitter.com/i/lists/1234567890,Marginal Revolution - economist
mattyglesias,business_economics_media,https://twitter.com/i/lists/1234567890,Slow Boring newsletter - policy analysis
ezraklein,business_media_politics,https://twitter.com/i/lists/1234567890,NYT podcast host - policy journalism
VitalikButerin,business_crypto_tech,https://twitter.com/i/lists/1234567890,Ethereum co-founder - blockchain research
cdixon,business_tech_crypto,https://twitter.com/i/lists/1234567890,a16z crypto general partner
sassal0x,business_crypto_analyst,https://twitter.com/i/lists/1234567890,Independent crypto analyst and researcher
hasufl,business_crypto_analyst,https://twitter.com/i/lists/1234567890,Independent crypto/DeFi researcher
kaiynne,business_crypto_research,https://twitter.com/i/lists/1234567890,Cube - web3 research
dwr,business_crypto_founder,https://twitter.com/i/lists/1234567890,Farcaster founder - decentralized social
lennysan,business_product_newsletter,https://twitter.com/i/lists/1234567890,Lenny's Newsletter - product/growth expert
shreyas,business_product_leadership,https://twitter.com/i/lists/1234567890,Product management thought leader
joulee,business_design_leadership,https://twitter.com/i/lists/1234567890,Sundial co-founder - ex-Facebook design VP
bgurley,business_tech_investing,https://twitter.com/i/lists/1234567890,Benchmark Capital - marketplace expert
kwokchain,business_tech_strategy,https://twitter.com/i/lists/1234567890,Tech strategy and systems thinking
patio11,business_tech_saas,https://twitter.com/i/lists/1234567890,Patrick McKenzie - Stripe - software business
mgsiegler,business_tech_investing,https://twitter.com/i/lists/1234567890,GV partner - tech writer/investor
sacks,business_tech_investing,https://twitter.com/i/lists/1234567890,Craft Ventures - All-In podcast co-host
bhorowitz,business_tech_investing,https://twitter.com/i/lists/1234567890,a16z co-founder - Hard Thing About Hard Things
dharmesh,business_entrepreneurship,https://twitter.com/i/lists/1234567890,HubSpot co-founder - inbound marketing
nathanbarry,business_creator_economy,https://twitter.com/i/lists/1234567890,ConvertKit founder - creator tools
mkobach,business_newsletter_growth,https://twitter.com/i/lists/1234567890,Newsletter growth expert - content strategy
aarthir,business_entrepreneurship,https://twitter.com/i/lists/1234567890,Angel investor and founder
jessewldn,business_crypto_investing,https://twitter.com/i/lists/1234567890,Paradigm co-founder - crypto investments
twobitidiot,business_crypto_analyst,https://twitter.com/i/lists/1234567890,Messari founder - crypto research
cburniske,business_crypto_investing,https://twitter.com/i/lists/1234567890,Placeholder VC - Cryptoassets author
jmonegro,business_crypto_investing,https://twitter.com/i/lists/1234567890,Placeholder VC partner - Fat Protocols thesis
