handle,category,source,note
elonmusk,creator_economy,tech_ceo,Tesla/SpaceX CEO
BillGates,creator_economy,tech_leader,Microsoft co-founder
EmmaWatson,creator_economy,entertainment,Actress/activist
tim_cook,creator_economy,tech_ceo,Apple CEO
MarkRuffalo,creator_economy,entertainment,Actor/activist
jack,creator_economy,tech_founder,Twitter co-founder
sundarpichai,creator_economy,tech_ceo,Google/Alphabet CEO
VitalikButerin,creator_economy,cryptocurrency,Ethereum founder
lexfridman,creator_economy,podcasting,Podcast host
sama,creator_economy,ai_investing,OpenAI CEO
pmarca,vc_investing,venture_capital,a16z co-founder
naval,creator_economy,angel_investing,Angel investor
balajis,creator_economy,tech_investing,Former Coinbase CTO
DavidSacks,creator_economy,venture_capital,PayPal Mafia
chamath,vc_investing,spac_investing,Social Capital CEO
jason,vc_investing,angel_investing,Angel investor/podcaster
fredwilson,vc_investing,venture_capital,Union Square Ventures
cdixon,vc_investing,venture_capital,Andreessen Horowitz
caseynewton,tech_investing,tech_journalist,Platformer founder
karaswisher,tech_investing,tech_journalist,Recode founder
profgalloway,tech_investing,tech_professor,NYU Stern professor
timoreilly,tech_investing,tech_investing,O'Reilly Media founder
davewiner,tech_investing,tech_investing,Software pioneer
jasoncalacanis,vc_investing,angel_investing,Angel investor
sivers,creator_economy,entrepreneurship,Derek Sivers author
jasonfried,tech_investing,saas,Basecamp CEO
wired,tech_investing,tech_news,Wired magazine
techcrunch,tech_investing,tech_news,TechCrunch
verge,tech_investing,tech_news,The Verge
arstechnica,tech_investing,tech_news,Ars Technica
mittechreview,tech_investing,tech_news,MIT Technology Review
ylecun,creator_economy,ai_researcher,Meta AI chief
demishassabis,creator_economy,ai_researcher,Google DeepMind CEO
satyanadella,creator_economy,tech_ceo,Microsoft CEO
timwu,policy_governance,tech_lawyer,Technology law professor
zeynep,policy_governance,tech_sociologist,Technology sociologist
sarahjeong,policy_governance,tech_writer,Technology writer
fmanjoo,policy_governance,tech_journalist,NY Times tech columnist
evgenymorozov,policy_governance,tech_critic,Technology critic
