handle,category,source_url,note
karpathy,ai_research,https://twitter.com/i/lists/m05-ai-tech,Former OpenAI/Tesla - AI educator
ylecun,ai_research,https://twitter.com/i/lists/m05-ai-tech,Meta Chief AI Scientist - deep learning pioneer
AndrewYNg,ai_research,https://twitter.com/i/lists/m05-ai-tech,Coursera co-founder - AI education leader
goodfeli,ai_research,https://twitter.com/i/lists/m05-ai-tech,DeepMind - GANs inventor
fchollet,ai_research,https://twitter.com/i/lists/m05-ai-tech,Keras creator - abstraction and reasoning
hardmaru,ai_research,https://twitter.com/i/lists/m05-ai-tech,Google Brain - creative AI research
_rockt,ai_research,https://twitter.com/i/lists/m05-ai-tech,Cohere research - NLP expert
srush_nlp,ai_research,https://twitter.com/i/lists/m05-ai-tech,Cornell professor - NLP and ML tools
giffmana,ai_research,https://twitter.com/i/lists/m05-ai-tech,Hugging Face researcher
arankomatsuzaki,ai_research,https://twitter.com/i/lists/m05-ai-tech,Rinna Co. - Japanese LLMs
sama,ai_tech_founder,https://twitter.com/i/lists/m05-ai-tech,OpenAI CEO - AGI vision
gdb,ai_tech_founder,https://twitter.com/i/lists/m05-ai-tech,Anthropic co-founder
danielgross,ai_tech_founder,https://twitter.com/i/lists/m05-ai-tech,AI investor - Pioneer.app founder
skirano,ai_tech_founder,https://twitter.com/i/lists/m05-ai-tech,Stability AI - open source AI
_buildspace,ai_tech_education,https://twitter.com/i/lists/m05-ai-tech,Web3/AI education community
swyx,ai_tech_analysis,https://twitter.com/i/lists/m05-ai-tech,AI Engineer - latent space podcast
bentossell,ai_tech_analysis,https://twitter.com/i/lists/m05-ai-tech,Ben's Bites newsletter - AI news
levie,ai_tech_exec,https://twitter.com/i/lists/m05-ai-tech,Box CEO - enterprise AI adoption
satyanadella,ai_tech_exec,https://twitter.com/i/lists/m05-ai-tech,Microsoft CEO - AI infrastructure
sundarpichai,ai_tech_exec,https://twitter.com/i/lists/m05-ai-tech,Google CEO - AI products
demishassabis,ai_research,https://twitter.com/i/lists/m05-ai-tech,Google DeepMind CEO - AlphaGo/AlphaFold
ID_AA_Carmack,ai_tech_founder,https://twitter.com/i/lists/m05-ai-tech,AGI startup founder - Doom/Oculus creator
jeffdean,ai_research,https://twitter.com/i/lists/m05-ai-tech,Google Chief Scientist - MapReduce/TensorFlow
jeremyphoward,ai_research,https://twitter.com/i/lists/m05-ai-tech,fast.ai founder - practical deep learning
rasbt,ai_tech_education,https://twitter.com/i/lists/m05-ai-tech,Machine Learning Q and AI author
