handle,category,source,note
david,tech_ceo,Nubank,Nubank founder (Brazil)
cristina,tech_ceo,Nubank,Nubank co-founder (Brazil)
eduardo,tech_entrepreneur,99,99 founder (Brazil)
miguel,tech_ceo,iFood,iFood founder (Brazil)
felipe,tech_entrepreneur,iFood,iFood co-founder (Brazil)
gustavo,tech_ceo,StoneCo,StoneCo founder (Brazil)
andre,tech_entrepreneur,StoneCo,StoneCo co-founder (Brazil)
pedro,tech_ceo,Loft,Loft founder (Brazil)
mate,tech_entrepreneur,Loft,Loft co-founder (Argentina)
francisco,tech_ceo,MercadoLibre,MercadoLibre founder (Argentina)
marcos,tech_entrepreneur,MercadoLibre,MercadoLibre co-founder (Argentina)
nicolas,tech_ceo,Rappi,Rappi founder (Colombia)
simon,tech_entrepreneur,Rappi,Rappi co-founder (Colombia)
sebastian,tech_ceo,Kavak,Kavak founder (Argentina)
roger,tech_entrepreneur,Kavak,Kavak co-founder (Mexico)
luis,tech_ceo,Clip,Clip founder (Mexico)
adrian,tech_entrepreneur,Clip,Clip co-founder (Mexico)
pablo,tech_ceo,Cornershop,Cornershop founder (Chile)
daniel,tech_entrepreneur,Cornershop,Cornershop co-founder (Chile)
wale,tech_ceo,Paystack,Paystack founder (Nigeria)
shola,tech_entrepreneur,Paystack,Paystack co-founder (Nigeria)
iyin,tech_ceo,Andela,Andela founder (Nigeria)
jeremy,tech_entrepreneur,Andela,Andela co-founder (Nigeria)
strive,tech_ceo,Andela,Andela CEO (Nigeria)
simon,tech_ceo,Twiga,Twiga founder (Kenya)
peter,tech_entrepreneur,Twiga,Twiga co-founder (Kenya)
rebecca,tech_ceo,M-Pesa,M-Pesa executive (Kenya)
bob,tech_entrepreneur,M-Pesa,M-Pesa founder (Kenya)
reinhardt,tech_ceo,Yoco,Yoco founder (South Africa)
katlego,tech_entrepreneur,Yoco,Yoco co-founder (South Africa)
alick,tech_ceo,MFS,Africa,MFS Africa founder (DRC)
daniel,tech_entrepreneur,MFS,Africa,MFS Africa co-founder (Ghana)
emmanuel,tech_ceo,Jumia,Jumia founder (Cameroon)
julien,tech_entrepreneur,Jumia,Jumia co-founder (France/Africa)
jeremy,tech_ceo,Jumia,Jumia CEO (France)
hugo,tech_ceo,Log'el,Log'el founder (Ivory Coast)
olivier,tech_entrepreneur,Log'el,Log'el co-founder (Ivory Coast)
fatoumata,tech_ceo,Jumia,Jumia COO (Mali)
abdoul,tech_entrepreneur,Jumia,Jumia CTO (Senegal)
mohamed,tech_ceo,InstaDeep,InstaDeep founder (Tunisia)
karim,tech_entrepreneur,InstaDeep,InstaDeep co-founder (Tunisia)
