handle,category,source,note
mittechreview,tech_investing,tech_news,MIT Technology Review
arstechnica,tech_investing,tech_news,Ars Technica
verge,tech_investing,tech_news,The Verge
techcrunch,tech_investing,tech_news,TechCrunch
venturebeat,tech_investing,tech_news,VentureBeat
theinformation,tech_investing,tech_news,The Information
stratechery,tech_investing,tech_analysis,Stratechery
axiospro,tech_investing,tech_news,Axios Pro
bloombergtech,tech_investing,tech_news,Bloomberg Technology
cnntech,tech_investing,tech_news,CNN Technology
wsjtech,tech_investing,tech_news,Wall Street Journal Tech
fttech,tech_investing,tech_news,Financial Times Tech
reuterstech,tech_investing,tech_news,Reuters Technology
nprtech,tech_investing,tech_news,NPR Technology
bbctech,tech_investing,tech_news,BBC Technology
cnet,tech_investing,tech_news,CNET
engadget,tech_investing,tech_news,Engadget
gizmodo,tech_investing,tech_news,Gizmodo
a16z,vc_investing,venture_capital,Andreessen Horowitz firm
sequoia,vc_investing,venture_capital,Sequoia Capital firm
benchmark,vc_investing,venture_capital,Benchmark Capital firm
usv,vc_investing,venture_capital,Union Square Ventures firm
foundrygroup,vc_investing,venture_capital,Foundry Group firm
socialcapital,vc_investing,spac_investing,Social Capital firm
craftventures,vc_investing,venture_capital,Craft Ventures firm
ycombinator,vc_investing,accelerator,Y Combinator accelerator
techcrunch,tech_investing,tech_news,TechCrunch (duplicate)
venturebeat,tech_investing,tech_news,VentureBeat (duplicate)
theinformation,tech_investing,tech_news,The Information (duplicate)
stratechery,tech_investing,tech_analysis,Stratechery (duplicate)
axiospro,tech_investing,tech_news,Axios Pro (duplicate)
bloombergtech,tech_investing,tech_news,Bloomberg Technology (duplicate)
cnntech,tech_investing,tech_news,CNN Technology (duplicate)
wsjtech,tech_investing,tech_news,Wall Street Journal Tech (duplicate)
fttech,tech_investing,tech_news,Financial Times Tech (duplicate)
reuterstech,tech_investing,tech_news,Reuters Technology (duplicate)
nprtech,tech_investing,tech_news,NPR Technology (duplicate)
bbctech,tech_investing,tech_news,BBC Technology (duplicate)
cnet,tech_investing,tech_news,CNET (duplicate)
engadget,tech_investing,tech_news,Engadget (duplicate)
gizmodo,tech_investing,tech_news,Gizmodo (duplicate)
