handle,category,source,note
VitalikButerin,blockchain,ethereum_founder,Ethereum co-founder
neerajka,tech_leadership,google_ai_team,Google VP Engineering AI/ML
fchollet,ai_research,google_team,François Chollet (Keras creator)
_brohrer_,ml_content,independent,Brandon Rohrer ML educator
TivadarDanka,ml_content,independent,Math/ML educator
cwodtke,tech_leadership,independent,Christina Wodtke (product/design)
kelseyhightower,devops,independent,Kelsey Hightower (Kubernetes)
jessfraz,devops,independent,Jessie Frazelle (containers)
QuinnyPig,devops,independent,Corey Quinn (AWS/cloud)
rakyll,devops,google_team,Jaana Dogan (observability)
mipsytipsy,devops,honeycomb_team,Charity Majors (Honeycomb)
copyconstruct,devops,independent,Cindy Sridharan (distributed systems)
adriancolyer,tech_content,independent,Adrian Colyer (The Morning Paper)
GergelyOrosz,tech_content,independent,Gergely Orosz (Pragmatic Engineer)
swyx,tech_content,independent,Shawn Wang (developer experience)
Carnage4Life,tech_content,microsoft_team,Dare Obasanjo (tech analysis)
benthompson,tech_analysis,stratechery,Ben Thompson (Stratechery)
BenedictEvans,tech_analysis,independent,Benedict Evans (tech trends)
ballmatthew,tech_analysis,independent,Matthew Ball (metaverse/media)
naval,tech_leadership,angellist_founder,Naval Ravikant (AngelList)
chamath,tech_leadership,independent,Chamath Palihapitiya (investor)
paulg,tech_leadership,ycombinator_founder,Paul Graham (YC)
patio11,tech_content,independent,Patrick McKenzie (Kalzumeus)
balajis,blockchain,independent,Balaji Srinivasan (crypto/tech)
VladZamfir,blockchain,ethereum_team,Vlad Zamfir (Ethereum researcher)
hasufl,blockchain,independent,Hasu (crypto researcher)
twobitidiot,blockchain,messari_founder,Ryan Selkis (Messari)
cburniske,blockchain,placeholder_vc,Chris Burniske (crypto investor)
arjunblj,tech_leadership,paradigm_team,Arjun Balaji (Paradigm)
rleshner,blockchain,compound_founder,Robert Leshner (Compound)
socrates1024,security,trailofbits_founder,Dan Guido (Trail of Bits)
tqbf,security,independent,Thomas Ptacek (security researcher)
matthew_d_green,security,jhu_team,Matthew Green (cryptographer)
halvarflake,security,independent,Thomas Dullien (security researcher)
taviso,security,google_team,Tavis Ormandy (Google Project Zero)
lcamtuf,security,independent,Michal Zalewski (security researcher)
jonasLyk,ml_research,independent,Jonas Degrave (DeepMind)
_holm,ai_research,independent,Pontus Holm (ML researcher)
random_forests,ml_content,independent,Tivadar Danka alt or similar
