handle,category,source,note
santiago,tech_entrepreneur,Mercado Libre,Mercado Libre founder (Argentina)
marcos,tech_ceo,Mercado Libre,Mercado Libre CEO (Argentina)
pedro,tech_entrepreneur,Rappi,Rappi co-founder (Argentina)
simon,tech_ceo,Rappi,Rappi CEO (Argentina)
martin,tech_entrepreneur,Globant,Globant founder (Argentina)
martin,tech_ceo,Globant,Globant CEO (Argentina)
guillermo,tech_entrepreneur,Despegar,Despegar founder (Argentina)
damian,tech_ceo,Despegar,Despegar CEO (Argentina)
sebastian,tech_entrepreneur,Kavak,Kavak founder (Argentina)
gaston,tech_ceo,Kavak,Kavak CEO (Argentina)
david,tech_entrepreneur,Ualá,Ualá founder (Argentina)
pierpaolo,tech_ceo,Ualá,Ualá CEO (Argentina)
sergio,tech_entrepreneur,OLX Brasil,OLX Brasil founder (Brazil)
martin,tech_ceo,OLX Brasil,OLX Brasil CEO (Brazil)
peter,tech_entrepreneur,iFood,iFood founder (Brazil)
fabricio,tech_ceo,iFood,iFood CEO (Brazil)
michele,tech_entrepreneur,Nubank,Nubank founder (Brazil)
david,tech_ceo,Nubank,Nubank CEO (Brazil)
joao,tech_entrepreneur,StoneCo,StoneCo founder (Brazil)
thiago,tech_ceo,StoneCo,StoneCo CEO (Brazil)
andre,tech_entrepreneur,Lojas Integradas,Lojas Integradas founder (Brazil)
ricardo,tech_ceo,Lojas Integradas,Lojas Integradas CEO (Brazil)
eduardo,tech_entrepreneur,Wildlife Studios,Wildlife Studios founder (Brazil)
arthur,tech_ceo,Wildlife Studios,Wildlife Studios CEO (Brazil)
gustavo,tech_entrepreneur,Loggi,Loggi founder (Brazil)
fabio,tech_ceo,Loggi,Loggi CEO (Brazil)
rodrigo,tech_entrepreneur,MadeiraMadeira,MadeiraMadeira founder (Brazil)
daniel,tech_ceo,MadeiraMadeira,MadeiraMadeira CEO (Brazil)
diego,tech_entrepreneur,Cornershop,Cornershop founder (Mexico)
daniel,tech_ceo,Cornershop,Cornershop CEO (Mexico)
adriana,tech_entrepreneur,Kavak Mexico,Kavak Mexico founder (Mexico)
arturo,tech_ceo,Kavak Mexico,Kavak Mexico CEO (Mexico)
ricardo,tech_entrepreneur,Clip,Clip founder (Mexico)
adrian,tech_ceo,Clip,Clip CEO (Mexico)
andres,tech_entrepreneur,Rappi Mexico,Rappi Mexico founder (Mexico)
sebastian,tech_ceo,Rappi Mexico,Rappi Mexico CEO (Mexico)
javier,tech_entrepreneur,Bitso,Bitso founder (Mexico)
daniel,tech_ceo,Bitso,Bitso CEO (Mexico)
santiago,tech_entrepreneur,Alto,Alto founder (Mexico)
gerardo,tech_ceo,Alto,Alto CEO (Mexico)
benjamin,tech_entrepreneur,Cripto,Cripto founder (Colombia)
jose,tech_ceo,Cripto,Cripto CEO (Colombia)
simon,tech_entrepreneur,Rappi Colombia,Rappi Colombia founder (Colombia)
david,tech_ceo,Rappi Colombia,Rappi Colombia CEO (Colombia)
andres,tech_entrepreneur,Merqueo,Merqueo founder (Colombia)
miguel,tech_ceo,Merqueo,Merqueo CEO (Colombia)
julian,tech_entrepreneur,Addi,Addi founder (Colombia)
daniel,tech_ceo,Addi,Addi CEO (Colombia)
sebastian,tech_entrepreneur,Platanus,Platanus founder (Chile)
agustin,tech_ceo,Platanus,Platanus CEO (Chile)
tomas,tech_entrepreneur,Fintual,Fintual founder (Chile)
agustin,tech_ceo,Fintual,Fintual CEO (Chile)
