handle,category,source,note
jason,vc_investing,venture_capital,Entrepreneur and investor
sacca,vc_investing,angel_investing,Lowercase Capital founder
leerobinson,vc_investing,angel_investing,Angel investor and founder
jerryneumann,vc_investing,angel_investing,Angel investor and entrepreneur
timoreilly,vc_investing,tech_investing,O'Reilly Media founder
davewiner,vc_investing,tech_investing,Software pioneer
jasoncalacanis,vc_investing,angel_investing,Angel investor and podcaster
sivers,creator_economy,entrepreneurship,Derek Sivers author
fried,tech_investing,saas,Basecamp CEO
amywebb,tech_investing,tech_futurist,Technology futurist
caseynewton,tech_investing,tech_journalist,Platformer newsletter
karaswisher,tech_investing,tech_journalist,Recode founder
profgalloway,tech_investing,tech_professor,NYU Stern professor
anand,tech_investing,tech_journalist,The Verge editor
parismartineau,tech_investing,tech_journalist,The Verge writer
timwu,policy_governance,tech_lawyer,Technology law professor
juliusk,vc_investing,tech_investing,Technology investor
david,vc_investing,podcasting,All-In Podcast host
jasonfried,tech_investing,saas,Basecamp CEO
wired,tech_investing,tech_news,Wired magazine
