handle,category,source,note
andrewygng,ai_research,independent,AI/ML researcher & educator
adcock_brett,ai_research,independent,ML researcher
ilyasut,ai_research,openai_team,OpenAI co-founder & Chief Scientist
gdb,ai_research,openai_team,OpenAI co-founder
percyliang,ai_research,stanford_team,Stanford NLP professor
ManningPubl,tech_content,independent,Publisher (likely filtered)
AravSrinivas,ai_research,perplexity_team,Perplexity AI CEO
perplexity_ai,ml_platform,perplexity_team,Perplexity AI official (likely filtered)
_jasonwei,ai_research,openai_team,OpenAI researcher
emilymbender,ai_research,uw_team,UW computational linguist
tdietterich,ai_research,independent,AI safety researcher
yudapearl,ai_research,independent,Causality & AI researcher
joschu,ai_research,openai_team,OpenAI researcher (robotics)
jmschreiber91,ml_engineering,independent,ML infrastructure engineer
AllenDowney,tech_content,independent,Author & educator
jakevdp,data_science,google_team,Python/data science educator
josh_wills,data_science,independent,Data engineer & leader
seanjtaylor,data_science,meta_team,Meta data scientist
tdhopper,data_science,independent,Data science & ML engineer
vboykis,data_science,independent,ML engineer & writer
chris_said,data_science,meta_team,Meta data scientist
sarah_edo,tech_content,independent,Tech educator (likely filtered)
swyx,tech_content,independent,Developer advocate
b0rk,tech_content,independent,Julia Evans (zines creator)
mipsytipsy,tech_content,honeycomb_team,Honeycomb CTO
kelseyhightower,tech_content,google_team,Kubernetes advocate
thockin,tech_content,google_team,Kubernetes maintainer
brendangregg,tech_content,intel_team,Performance engineering expert
peterbourgon,tech_content,independent,Go/distributed systems expert
copyconstruct,tech_content,independent,Systems engineering educator
gvanrossum,tech_content,independent,Python creator
miguelgrinberg,tech_content,independent,Flask author & educator
raymondh,tech_content,independent,Python core dev (Raymond Hettinger)
dabeaz,tech_content,independent,Python educator (David Beazley)
nedbat,tech_content,independent,Python educator (Ned Batchelder)
hynek,tech_content,independent,Python core dev (Hynek Schlawack)
wesmckinn,data_science,independent,Pandas & Arrow creator
hadleywickham,data_science,posit_team,tidyverse creator (R)
drob,data_science,independent,Data scientist & educator
JennyBryan,data_science,posit_team,R/tidyverse educator
StatGarrett,data_science,posit_team,ggplot2 author
EmilyRiederer,data_science,independent,Data science & R educator
juliasilge,data_science,posit_team,R/ML educator
robinson_es,data_science,independent,Data science writer
DrStephanieHS,data_science,independent,Data science educator
chrisalbon,ml_engineering,wikimedia_team,ML director
josh_wills,data_science,independent,Data engineering expert
eugeneyan,ml_engineering,amazon_team,ML systems engineer & writer
chipro,ml_engineering,independent,ML infrastructure engineer
sh_reya,ml_engineering,snorkel_team,Snorkel AI founder
HamelHusain,ml_engineering,independent,MLOps & fast.ai instructor
jeremyjordan,ml_engineering,independent,ML engineer & educator
svpino,ml_engineering,independent,ML engineer & educator
marktenenholtz,ml_engineering,independent,ML engineer & content creator
_jasonwei,ai_research,openai_team,OpenAI researcher (duplicate check)
ShaneAParrish,general_tech,independent,Farnam Street (likely filtered)
naval,general_tech,angellist_team,AngelList founder (tech philosophy)
balajis,general_tech,independent,Tech entrepreneur & writer
pmarca,general_tech,a16z_team,a16z co-founder Marc Andreessen
elonmusk,general_tech,tesla_team,Tesla/SpaceX CEO (edge case)
ID_AA_Carmack,general_tech,independent,John Carmack (VR/game dev legend)
paulg,general_tech,ycombinator_team,YC founder Paul Graham
sama,general_tech,openai_team,OpenAI CEO Sam Altman (already in M0.0)
patio11,general_tech,independent,Patrick McKenzie (tech business)
skamille,general_tech,independent,Camille Fournier (eng leadership)
Carnage4Life,general_tech,meta_team,Dare Obasanjo (tech commentary)
