handle,category,source,note
mohammad,tech_entrepreneur,Careem,Careem founder (UAE)
mudassir,tech_ceo,Careem,Careem CEO (UAE)
abdullah,tech_entrepreneur,Souq,Souq founder (UAE)
ronaldo,tech_ceo,Souq,Souq CEO (UAE)
mohamed,tech_entrepreneur,Namshi,Namshi founder (UAE)
faraz,tech_ceo,Namshi,Namshi CEO (UAE)
hussein,tech_entrepreneur,Mumtalakat,Mumtalakat founder (Bahrain)
mahmood,tech_ceo,Mumtalakat,Mumtalakat CEO (Bahrain)
fawaz,tech_entrepreneur,Zain,Zain founder (Kuwait)
badr,tech_ceo,Zain,Zain CEO (Kuwait)
abdulaziz,tech_entrepreneur,STC,STC founder (Saudi Arabia)
eng,tech_ceo,STC,STC CEO (Saudi Arabia)
sultan,tech_entrepreneur,STC,STC founder (Saudi Arabia)
khalid,tech_ceo,STC,STC CEO (Saudi Arabia)
mohammed,tech_entrepreneur,STC,STC founder (Saudi Arabia)
amr,tech_ceo,STC,STC CEO (Saudi Arabia)
tariq,tech_entrepreneur,Ooredoo,Ooredoo founder (Qatar)
waleed,tech_ceo,Ooredoo,Ooredoo CEO (Qatar)
sheikh,tech_entrepreneur,Emirates,Emirates founder (UAE)
tim,tech_ceo,Emirates,Emirates CEO (UAE)
ahmed,tech_entrepreneur,Etihad,Etihad founder (UAE)
james,tech_ceo,Etihad,Etihad CEO (UAE)
mohammad,tech_entrepreneur,FlyDubai,FlyDubai founder (UAE)
ghaith,tech_ceo,FlyDubai,FlyDubai CEO (UAE)
abdulrahman,tech_entrepreneur,Noon,Noon founder (UAE)
faris,tech_ceo,Noon,Noon CEO (UAE)
majid,tech_entrepreneur,Majid Al Futtaim,Majid Al Futtaim founder (UAE)
alain,tech_ceo,Majid Al Futtaim,Majid Al Futtaim CEO (UAE)
mohamed,tech_entrepreneur,Al-Futtaim,Al-Futtaim founder (UAE)
zayed,tech_ceo,Al-Futtaim,Al-Futtaim CEO (UAE)
hassan,tech_entrepreneur,Alshaya,Alshaya founder (Kuwait)
mohammed,tech_ceo,Alshaya,Alshaya CEO (Kuwait)
nasser,tech_entrepreneur,Almarai,Almarai founder (Saudi Arabia)
saud,tech_ceo,Almarai,Almarai CEO (Saudi Arabia)
abdullah,tech_entrepreneur,Savola,Savola founder (Saudi Arabia)
ahmed,tech_ceo,Savola,Savola CEO (Saudi Arabia)
mohammed,tech_entrepreneur,Jarir,Jarir founder (Saudi Arabia)
mohammad,tech_ceo,Jarir,Jarir CEO (Saudi Arabia)
saleh,tech_entrepreneur,Extra,Extra founder (Saudi Arabia)
rayan,tech_ceo,Extra,Extra CEO (Saudi Arabia)
abdulaziz,tech_entrepreneur,Amazon Middle East,Amazon Middle East founder (UAE)
sebastian,tech_ceo,Amazon Middle East,Amazon Middle East CEO (UAE)
mohammed,tech_entrepreneur,noon.com,noon.com founder (UAE)
faraz,tech_ceo,noon.com,noon.com CEO (UAE)
khalid,tech_entrepreneur,Talabat,Talabat founder (Kuwait)
jamal,tech_ceo,Talabat,Talabat CEO (Kuwait)
