handle,category,source,note
satyanadella,tech_ceo,Microsoft,Microsoft CEO (India-born)
sundarpichai,tech_ceo,Google,Google CEO (India-born)
shytukollar,tech_investor,A16Z,Andreessen Horowitz partner (India)
reshma,tech_executor,Microsoft,Microsoft VP (India)
arvindkrishna,tech_ceo,Adobe,Adobe CEO (India)
thomaskurian,tech_ceo,Google Cloud,Google Cloud CEO (India)
georgenadella,tech_investor,Sequoia,Sequoia Capital (India)
kunalshah,tech_entrepreneur,CRED,Fintech founder (India)
vijayshekhar,tech_entrepreneur,Paytm,Paytm founder (India)
byjuse,tech_entrepreneur,BYJU'S,Edtech founder (India)
mukeshbajaj,tech_entrepreneur,BajajFinserv,Fintech leader (India)
sanjivbajaj,tech_entrepreneur,BajajFinserv,Fintech leader (India)
falguninayyar,tech_entrepreneur,Nykaa,E-commerce founder (India)
vineetas,tech_entrepreneur,Meesho,E-commerce founder (India)
albattani,tech_investor,500Startups,Venture capital (Middle East)
abdullah,tech_entrepreneur,Careem,Ride-hailing founder (Middle East)
tarun,tech_entrepreneur,Souq,E-commerce founder (Middle East)
ryu,tech_ceo,Rakuten,Rakuten CEO (Japan)
mikitani,tech_ceo,Rakuten,Rakuten founder (Japan)
son,tech_ceo,SoftBank,SoftBank CEO (Japan)
ken,tech_investor,SoftBank,Vision Fund (Japan)
yoshida,tech_ceo,Sony,Sony CEO (Japan)
takeda,tech_executor,Panasonic,Panasonic executive (Japan)
lee,tech_ceo,Samsung,Samsung CEO (Korea)
kim,tech_ceo,SKTelecom,SK Telecom CEO (Korea)
park,tech_entrepreneur,Coupang,E-commerce founder (Korea)
leejae,tech_investor,Naver,Naver investment (Korea)
jackma,tech_entrepreneur,Alibaba,Alibaba founder (China)
pony,tech_ceo,Tencent,Tencent CEO (China)
lei,tech_ceo,Xiaomi,Xiaomi CEO (China)
william,tech_ceo,ByteDance,TikTok founder (China)
colin,tech_ceo,Sea,Limited,Sea Group CEO (Singapore)
anthony,tech_entrepreneur,Grab,Ride-hailing founder (Malaysia)
forrest,tech_ceo,Atlassian,Atlassian CEO (Australia)
melanie,tech_executor,Canva,Canva executive (Australia)
mike,tech_entrepreneur,Canva,Canva founder (Australia)
