handle,category,source,note
iyinoluwa,tech_ceo,Andela,Andela founder (Nigeria)
jeremy,tech_ceo,Andela,Andela CEO (Nigeria)
strive,tech_ceo,Andela,Andela co-founder (Nigeria)
simon,tech_ceo,Twiga,Twiga founder (Kenya)
peter,tech_entrepreneur,Twiga,Twiga co-founder (Kenya)
rebecca,tech_ceo,M-Pesa,M-Pesa executive (Kenya)
bob,tech_entrepreneur,M-Pesa,M-Pesa founder (Kenya)
reinhardt,tech_ceo,Yoco,Yoco founder (South Africa)
katlego,tech_entrepreneur,Yoco,Yoco co-founder (South Africa)
alick,tech_ceo,MFS_Africa,MFS Africa founder (DRC)
daniel,tech_entrepreneur,MFS_Africa,MFS Africa co-founder (Ghana)
emmanuel,tech_ceo,Jumia,Jumia founder (Cameroon)
julien,tech_entrepreneur,Jumia,Jumia co-founder (France/Africa)
jeremy,tech_ceo,Jumia,Jumia CEO (France)
hugo,tech_ceo,Logel,Logel founder (Ivory Coast)
olivier,tech_entrepreneur,Logel,Logel co-founder (Ivory Coast)
fatoumata,tech_ceo,Jumia,Jumia COO (Mali)
abdoul,tech_entrepreneur,Jumia,Jumia CTO (Senegal)
mohamed,tech_ceo,InstaDeep,InstaDeep founder (Tunisia)
karim,tech_entrepreneur,InstaDeep,InstaDeep co-founder (Tunisia)
fred,tech_ceo,Flutterwave,Flutterwave founder (Nigeria)
iolu,tech_entrepreneur,Flutterwave,Flutterwave co-founder (Nigeria)
paystack,tech_ceo,Paystack,Paystack founder (Nigeria)
shola,tech_entrepreneur,Paystack,Paystack co-founder (Nigeria)
wale,tech_ceo,Paystack,Paystack executive (Nigeria)
