handle,category,source,note
li-jin-abc,creator_economy,a16z,Andreessen Horowitz general partner, creator economy lead
jackconte,creator_economy,patreon,Patreon CEO and co-founder
samuelless,creator_economy,substack,Substack CEO and co-founder
mikehyun,creator_economy,a16z,Andreessen Horowitz general partner, consumer tech
chrissacc,creator_economy,a16z,Andreessen Horowitz partner, creator economy
senator,creator_economy,substack,Substack CTO and co-founder
davidsacks,creator_economy,craft_ventures,Craft Ventures founder, PayPal mafia
naval,creator_economy,angellist,AngelList founder, Naval Ravikant
balajis,creator_economy,former_a16z,Former Andreessen Horowitz partner
paulg,creator_economy,y_combinator,Y Combinator founder
sama,creator_economy,openai,OpenAI CEO (creator tools focus)
pmirizzi,creator_economy,substack,Substack head of writer partnerships
juliasmith,creator_economy,onlyfans,Onlyfans head of creator relations
matthewklein,creator_economy,canopy,Canopy Ventures founder, creator economy
zen4,creator_economy,substack,Popular Substack writer, journalism migration
taylortok,creator_economy,tiktok,TikTok creator economy representative
rashad,creator_economy,youtube,YouTube creator lead
sophiaam,creator_economy,onlyfans,OnlyFans creator and entrepreneur
amandakelly,creator_economy,patreon,Patreon creator community lead
derric,creator_economy,substack,Substack product and creator experience
annie,creator_economy,onlyfans,OnlyFans head of partnerships
nickcammarata,creator_economy,twitter,Twitter creator tools focus
caseynewton,creator_economy,platformer,Platformer newsletter, Substack migration
erinkissane,creator_economy,substack,Popular Substack political writer
bhaskar,creator_economy,substack,Popular Substack tech writer
stratechery,creator_economy,substack,Ben Thompson Stratechery newsletter
danprimack,creator_economy,axios,Media business reporter
taylorlorenz,creator_economy,nyt,TikTok and internet culture reporter
sarahguo,creator_economy,greycroft,GreyCroft partner, consumer investments
brittany,creator_economy,a16z,Andreessen Horowitz partner, marketplaces
rex,creator_economy,crv,CRV partner, consumer and SaaS
