handle,category,source,note
adebayo,tech_entrepreneur,Paystack,Paystack co-founder (Nigeria)
shola,tech_ceo,Paystack,Paystack CEO (Nigeria)
simon,tech_entrepreneur,Andela,Andela co-founder (Nigeria)
jeremy,tech_ceo,Andela,Andela CEO (Nigeria)
iyin,tech_entrepreneur,Flutterwave,Flutterwave founder (Nigeria)
olugbenga,tech_ceo,Flutterwave,Flutterwave CEO (Nigeria)
tayo,tech_entrepreneur,Interswitch,Interswitch founder (Nigeria)
mitchell,tech_ceo,Jumia,Jumia co-founder (Nigeria)
jeremy,tech_entrepreneur,Jumia,Jumia co-founder (Nigeria)
strive,tech_investor,ABC Holdings,African Development Bank founder (Zimbabwe)
ayo,tech_entrepreneur,MFS Africa,MFS Africa founder (Nigeria)
david,tech_ceo,MFS Africa,MFS Africa CEO (Nigeria)
tunde,tech_entrepreneur,PiggyVest,PiggyVest founder (Nigeria)
odun,tech_ceo,PiggyVest,PiggyVest CEO (Nigeria)
chidi,tech_entrepreneur,Carbon,Carbon founder (Nigeria)
chika,tech_ceo,Carbon,Carbon CEO (Nigeria)
emeka,tech_entrepreneur,TerminusDB,TerminusDB founder (Nigeria)
ada,tech_ceo,TerminusDB,TerminusDB CEO (Nigeria)
kunle,tech_entrepreneur,MainOne,MainOne founder (Nigeria)
funke,tech_ceo,MainOne,MainOne CEO (Nigeria)
gbenga,tech_entrepreneur,CCHub,CCHub founder (Nigeria)
bosun,tech_ceo,CCHub,CCHub CEO (Nigeria)
tayo,tech_entrepreneur,Andela,Andela co-founder (Nigeria)
iyinoluwa,tech_entrepreneur,Andela,Andela co-founder (Nigeria)
njeri,tech_entrepreneur,M-Pesa,M-Pesa developer (Kenya)
bob,tech_ceo,M-Pesa,M-Pesa lead (Kenya)
lorna,tech_entrepreneur,M-Pesa,M-Pesa product lead (Kenya)
mike,tech_entrepreneur,Safaricom,Safaricom innovation lead (Kenya)
james,tech_ceo,Safaricom,Safaricom CEO (Kenya)
rebecca,tech_entrepreneur,Wazi Digital,Wazi Digital founder (Kenya)
john,tech_ceo,Wazi Digital,Wazi Digital CEO (Kenya)
elizabeth,tech_entrepreneur,M-KOPA,M-KOPA founder (Kenya)
jesse,tech_ceo,M-KOPA,M-KOPA CEO (Kenya)
sam,tech_entrepreneur,Cellulant,Cellulant founder (Kenya)
david,tech_ceo,Cellulant,Cellulant CEO (Kenya)
monica,tech_entrepreneur,Flare,Flare founder (Kenya)
catherine,tech_ceo,Flare,Flare CEO (Kenya)
rapelang,tech_entrepreneur,Rekindle Learning,Rekindle Learning founder (South Africa)
alan,tech_ceo,Rekindle Learning,Rekindle Learning CEO (South Africa)
vinny,tech_entrepreneur,Yoco,Yoco founder (South Africa)
katlego,tech_ceo,Yoco,Yoco CEO (South Africa)
pamela,tech_entrepreneur,SweepSouth,SweepSouth founder (South Africa)
alina,tech_ceo,SweepSouth,SweepSouth CEO (South Africa)
gareth,tech_entrepreneur,Naspers Labs,Naspers Labs founder (South Africa)
adrian,tech_ceo,Naspers Labs,Naspers Labs CEO (South Africa)
