handle,category,source,note
satya,tech_ceo,Microsoft,Microsoft CEO (India/US)
sundar,tech_ceo,Alphabet,Google CEO (India/US)
parag,tech_ceo,Meta,Meta CEO (India/US)
shantanu,tech_ceo,Google,Google co-founder (India/US)
vinod,tech_ceo,Google,Google board member (India/US)
srinivas,tech_entrepreneur,Hotmail,Hotmail co-founder (India/US)
chamath,tech_ceo,Social Capital,Social Capital CEO (Sri Lanka/US)
naval,tech_ceo,AngelList,AngelList founder (India/US)
sam,tech_ceo,OpenAI,OpenAI CEO (India/US)
emad,tech_ceo,Stability AI,Stability AI founder (Egypt/US)
reid,tech_ceo,Intel,Intel CEO (Egypt/US)
aravind,tech_ceo,NVIDIA,NVIDIA executive (India/US)
suresh,tech_entrepreneur,Sun Microsystems,Sun Microsystems co-founder (India/US)
naveen,tech_ceo,Adobe,Adobe CEO (India/US)
thomas,tech_ceo,UiPath,UiPath CEO (Romania/US)
daniel,tech_ceo,Cloudflare,Cloudflare CEO (India/US)
dines,tech_ceo,Pine Labs,Pine Labs founder (India/US)
sameer,tech_entrepreneur,Zoho,Zoho founder (India/US)
vijay,tech_ceo,ThoughtWorks,ThoughtWorks founder (India/US)
prashanth,tech_ceo,Freshworks,Freshworks CEO (India/US)
girish,tech_entrepreneur,Cognizant,Cognizant co-founder (India/US)
ashok,tech_ceo,Wipro,Wipro founder (India/US)
azim,tech_ceo,Wipro,Wipro former CEO (India/US)
nandan,tech_ceo,Infosys,Infosys co-founder (India/US)
kris,tech_ceo,Infosys,Infosys former CEO (India/US)
salil,tech_ceo,Infosys,Infosys CEO (India/US)
shibul,tech_ceo,TCS,TCS CEO (India/US)
ramadorai,tech_ceo,HCL,HCL founder (India/US)
vineet,tech_entrepreneur,InMobi,InMobi founder (India/US)
