handle,category,source,note
mohammed,tech_ceo,Careem,Careem founder (UAE)
mudassar,tech_entrepreneur,Careem,Careem co-founder (UAE)
hussain,tech_ceo,Souq,Souq founder (Kuwait)
abdullah,tech_entrepreneur,Souq,Souq co-founder (Kuwait)
fahad,tech_ceo,Namshi,Namshi founder (Saudi Arabia)
ahmed,tech_entrepreneur,Namshi,Namshi co-founder (Saudi Arabia)
omar,tech_ceo,Jumia,Jumia founder (Egypt)
mahmoud,tech_entrepreneur,Jumia,Jumia co-founder (Egypt)
tarek,tech_ceo,Talabat,Talabat founder (Egypt)
karim,tech_entrepreneur,Talabat,Talabat co-founder (Egypt)
youssef,tech_ceo,Watani,Watani founder (Egypt)
ali,tech_entrepreneur,Watani,Watani co-founder (Egypt)
hassan,tech_ceo,Instapay,Instapay founder (Egypt)
mostafa,tech_entrepreneur,Instapay,Instapay co-founder (Egypt)
khalid,tech_ceo,Tamara,Tamara founder (Saudi Arabia)
faisal,tech_entrepreneur,Tamara,Tamara co-founder (Saudi Arabia)
sultan,tech_ceo,Tabby,Tabby founder (Saudi Arabia)
mohamed,tech_entrepreneur,Tabby,Tabby co-founder (Saudi Arabia)
abdulaziz,tech_ceo,Stc,Stc Pay founder (Saudi Arabia)
bandar,tech_entrepreneur,Stc,Stc Pay co-founder (Saudi Arabia)
turki,tech_ceo,Halala,Halala founder (Saudi Arabia)
saad,tech_entrepreneur,Halala,Halala co-founder (Saudi Arabia)
