handle,category,source,note
jeffbezos,business_executive,amazon,Amazon founder and former CEO
vitalikbuterin,cryptocurrency,ethereum,Ethereum creator
michael_saylor,fintech,bitcoin,MicroStrategy CEO and Bitcoin advocate
li_jin,creator_economy,a16z,Andreessen Horowitz general partner, creator economy
elonmusk,tech_executive,tesla_spacex,Tesla CEO and SpaceX founder
jack,twitter_founder,twitter,Twitter co-founder
naval,creator_economy,angellist,AngelList founder and investor
balajis,tech_investor,former_a16z,Former Andreessen Horowitz partner
pmarca,tech_investor,a16z,Andreessen Horowitz co-founder
sama,ai_research,openai,OpenAI CEO
ylecun,ai_research,meta,Meta AI chief scientist
demishassabis,ai_research,google,Google DeepMind CEO
sundarpichai,tech_executive,google,Google CEO
satyanadella,tech_executive,microsoft,Microsoft CEO
davidsacks,tech_investor,craft_ventures,Craft Ventures founder
chamath,tech_investor,social_capital,Social Capital CEO
peterthiel,tech_investor,palantir,Palantir co-founder
cdixon,tech_investor,a16z,Andreessen Horowitz partner
patrickcollison,fintech,stripe,Stripe CEO
vladtenev,fintech,robinhood,Robinhood CEO
cameron,fintech,robinhood,Robinhood co-founder
gabnewell,gaming_executive,valve,Valve co-founder
tim_sweeney,gaming_executive,epic_games,Epic Games CEO
phil_spencer,gaming_executive,microsoft,Xbox head
jackconte,creator_economy,patreon,Patreon CEO
samuelless,creator_economy,substack,Substack CEO
