handle,category,source_url,note
pmarca,business_tech_investing,https://twitter.com/i/lists/1234567890,a16z co-founder - tech investing thought leader
naval,business_entrepreneurship,https://twitter.com/i/lists/1234567890,AngelList founder - startup/crypto philosophy
paulg,business_entrepreneurship,https://twitter.com/i/lists/1234567890,Y Combinator founder - startup essays
jason,business_tech_investing,https://twitter.com/i/lists/1234567890,This Week in Startups - angel investor
chamath,business_tech_investing,https://twitter.com/i/lists/1234567890,Social Capital - investor and SPAC sponsor
rabois,business_tech_investing,https://twitter.com/i/lists/1234567890,Founders Fund - former PayPal executive
eladgil,business_tech_investing,https://twitter.com/i/lists/1234567890,High Growth Handbook author - investor
balajis,business_tech_crypto,https://twitter.com/i/lists/1234567890,Network State author - entrepreneur
packyM,business_newsletter,https://twitter.com/i/lists/1234567890,Not Boring newsletter - tech/business analysis
shl,business_entrepreneurship,https://twitter.com/i/lists/1234567890,Gumroad founder - creator economy
Austen,business_edtech,https://twitter.com/i/lists/1234567890,BloomTech founder - education startup
eriktorenberg,business_media,https://twitter.com/i/lists/1234567890,Turpentine Media - tech podcasts
TurnerNovak,business_tech_investing,https://twitter.com/i/lists/1234567890,Gelt VC - early stage investor
ShaanVP,business_entrepreneurship,https://twitter.com/i/lists/1234567890,My First Million podcast - entrepreneur
andrewchen,business_tech_investing,https://twitter.com/i/lists/1234567890,a16z partner - growth/marketplace expert
wolfejosh,business_tech_investing,https://twitter.com/i/lists/1234567890,Lux Capital - deep tech investor
mikesolana,business_media,https://twitter.com/i/lists/1234567890,Pirate Wires - tech culture commentary
byrnehobart,business_newsletter,https://twitter.com/i/lists/1234567890,The Diff newsletter - finance/tech analysis
benthompson,business_newsletter,https://twitter.com/i/lists/1234567890,Stratechery - tech strategy analysis
APompliano,business_finance_crypto,https://twitter.com/i/lists/1234567890,The Pomp Letter - Bitcoin/finance
nic__carter,business_finance_crypto,https://twitter.com/i/lists/1234567890,Castle Island Ventures - crypto analyst
LynAldenContact,business_finance_macro,https://twitter.com/i/lists/1234567890,Macro investment research - finance education
RaoulGMI,business_finance_macro,https://twitter.com/i/lists/1234567890,Real Vision - macro investing
CathieDWood,business_finance_investing,https://twitter.com/i/lists/1234567890,ARK Invest - disruptive innovation
RayDalio,business_finance_investing,https://twitter.com/i/lists/1234567890,Bridgewater - principles author
BillAckman,business_finance_investing,https://twitter.com/i/lists/1234567890,Pershing Square - activist investor
sapinker,business_science_author,https://twitter.com/i/lists/1234567890,Rationality author - cognitive science
tylercowen,business_economics,https://twitter.com/i/lists/1234567890,Marginal Revolution - economist
mattyglesias,business_economics_media,https://twitter.com/i/lists/1234567890,Slow Boring newsletter - policy analysis
ezraklein,business_media_politics,https://twitter.com/i/lists/1234567890,NYT podcast host - policy journalism
